id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52838879,Home in Cape Town · ★4.84 · 3 bedrooms · 4 beds · 2 baths,427804074,Daniel Johannes,,Ward 83,-34.103633880615234,18.8239803314209,Entire home/apt,1620,3,19,2023-05-02,0.93,2,0,9,
52839542,Guest suite in Cape Town · ★4.85 · 1 bedroom · 1 bed · 1 bath,45541129,Hendrik,,Ward 107,-33.82593,18.48602,Entire home/apt,440,1,52,2023-06-24,2.56,1,75,33,
52840023,Rental unit in Cape Town · ★4.33 · Studio · 1 bed · 1 bath,93770890,Alimama Spaces,,Ward 115,-33.92017,18.42466,Entire home/apt,504,2,15,2023-05-05,0.84,15,365,12,
52841134,Home in Cape Town · ★5.0 · 4 bedrooms · 4 beds · 3.5 baths,155090075,Melissa,,Ward 62,-33.98588,18.4492,Entire home/apt,7495,7,4,2023-01-07,0.22,1,339,2,
52848148,Rental unit in Cape Town · 2 bedrooms · 3 beds · 1 bath,29047749,Chantel,,Ward 83,-34.10488,18.81908,Entire home/apt,1459,2,2,2023-03-26,0.35,17,252,2,
52848902,Home in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,122053222,Brad,,Ward 115,-33.93275,18.41633,Entire home/apt,2100,2,6,2023-01-29,0.33,1,0,2,
52850363,Home in Cape Town · ★5.0 · 2 bedrooms · 3 beds · 2 baths,83006992,Robert,,Ward 57,-33.939788818359375,18.452119827270508,Entire home/apt,1500,1,11,2023-05-19,0.58,1,234,5,
52850998,Condo in Cape Town · ★4.76 · 2 bedrooms · 2 beds · 1 bath,264888170,Jono,,Ward 77,-33.94189,18.42038,Entire home/apt,703,2,62,2023-06-02,3.19,56,335,39,
52851233,Rental unit in Cape Town · ★4.75 · 2 bedrooms · 3 beds · 2 baths,27824335,Sean,,Ward 54,-33.91006,18.39695,Entire home/apt,817,2,56,2023-06-02,2.77,7,162,32,
52851815,Rental unit in Bloubergstrand · ★4.79 · Studio · 1 bed · Half-bath,396289198,Lorraine,,Ward 23,-33.8128476,18.4726474,Entire home/apt,556,5,14,2023-05-07,0.72,1,86,3,
52855895,Guest suite in Cape Town · ★4.92 · 1 bedroom · 4 beds · 1 bath,108408367,Carol,,Ward 54,-33.92492,18.38148,Entire home/apt,771,3,26,2023-04-29,1.44,3,274,23,
52858332,Condo in Cape Town · ★4.95 · 2 bedrooms · 3 beds · 1 bath,40826942,Kirsty,,Ward 64,-34.1213,18.45384,Entire home/apt,1000,2,21,2023-06-27,1.39,23,252,16,
52859946,Rental unit in Cape Town · ★5.0 · 2 bedrooms · 3 beds · 1 bath,183047051,Navesh,,Ward 69,-34.13059,18.3939,Entire home/apt,2250,1,4,2023-02-05,0.22,1,340,2,
52861287,Condo in Cape Town · ★4.74 · 1 bedroom · 1 bed · 1 bath,55761706,Allen,,Ward 115,-33.91931,18.42547,Entire home/apt,1140,1,31,2023-04-03,1.68,12,301,20,
52868085,Home in Cape Town · 3 bedrooms · 4 beds · 3 baths,11294503,Pauline,,Ward 74,-34.01031,18.34303,Entire home/apt,6000,10,0,,,3,158,0,
52868927,Home in Cape Town · ★4.85 · 4 bedrooms · 4 beds · 4 baths,19745781,Nicholas Sadleir,,Ward 61,-34.18284,18.3642,Entire home/apt,3143,2,48,2023-06-18,2.34,37,258,32,
52870759,Guest suite in Cape Town · ★4.83 · 1 bedroom · 3 beds · 1 bath,22078451,Patty,,Ward 62,-34.01919,18.43865,Entire home/apt,1200,2,6,2023-03-17,1.23,1,305,6,
52877073,Guest suite in Cape Town · ★4.56 · 1 bedroom · 1 bed · 1.5 shared baths,67002637,Elisma,,Ward 70,-33.86674,18.6088,Private room,433,1,9,2023-06-09,0.63,1,196,7,
52877096,Condo in Cape Town · ★5.0 · 2 bedrooms · 3 beds · 1 bath,428102491,Anlie,,Ward 100,-34.15968,18.8806,Entire home/apt,1364,2,12,2023-05-29,0.64,1,362,9,
52878491,Villa in Cape Town · ★5.0 · 4 bedrooms · 5 beds · 4.5 baths,186270420,Natalie,,Ward 115,-33.91159,18.40506,Entire home/apt,20000,2,3,2023-01-03,0.17,2,348,2,
52878531,Condo in Cape Town · ★4.97 · 1 bedroom · 6 beds · 1 bath,98138131,Michael,,Ward 54,-33.91088,18.39681,Entire home/apt,950,3,29,2023-06-24,1.49,1,103,15,
52879289,Serviced apartment in Cape Town · ★4.53 · 1 bedroom · 1 bed · 1.5 shared baths,403534159,Zandile,,Ward 115,-33.91895,18.42321,Private room,750,1,30,2023-02-26,1.46,2,357,5,
52881706,Condo in Cape Town · ★3.75 · 1 bedroom · 1 bed · 1 shared bath,403534159,Zandile,,Ward 115,-33.91865,18.423,Private room,700,1,8,2023-04-08,0.40,2,179,2,
52886328,Villa in Cape Town · ★5.0 · 5 bedrooms · 5 beds · 5.5 baths,57582302,Tammaryn,,Ward 62,-34.03582,18.43957,Entire home/apt,10000,12,3,2023-02-23,0.19,1,53,2,
52888180,Rental unit in Cape Town · ★4.77 · 1 bedroom · 1 bed · 1 bath,428193215,Propr,,Ward 115,-33.91816,18.42255,Entire home/apt,909,2,44,2023-06-11,2.16,1,329,23,
52888479,Home in Cape Town · ★4.0 · 6 bedrooms · 9 beds · 5.5 baths,428196337,Michelle,,Ward 23,-33.70358,18.44364,Entire home/apt,3500,3,13,2023-06-06,0.69,1,250,11,
